Year;USA Inflation (%);Ukraine Inflation (%);Difference (%)
2010;1.6400434423899;9.37293105078978;7.7328876083998805
2011;3.156841568622;7.95572466274652;4.79888309412452
2012;2.06933726526067;0.568727971803862;1.5006092934568078
2013;1.46483265562717;-0.238948626045407;1.703781281672577
2014;1.62222297740817;12.0718562874251;10.44963331001693
2015;0.118627135552451;48.6998646434424;48.58123750788995
2016;1.26158320570536;13.9127101997797;12.651126994074339
2017;2.13011000365961;14.4383227488749;12.30821274521529
2018;2.44258329692817;10.9518559353178;8.50927263838963
2019;1.81221007526021;7.88671745611133;6.07450738085112
